sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:55.005215,2025-02-13 16:02:55.505206,1739433775.005215,1739433775.505206,3.604933,4.104924,0.499992,7,10,455,616,65,64,65,52,65.0,61.6,7280.114,9856.154,91,96,13,12,13,0,13.0,9.6,0.08328016599019368,0.05555457539028592,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.498,0.0,0.0,0.000156,0.060096
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:55.048195,2025-02-13 16:02:55.507683,1739433775.048195,1739433775.507683,3.647913,4.107401,0.459489,5,7,325,424,65,64,65,52,65.0,60.571,5658.458,7382.111,65,60,13,12,13,0,13.0,8.571,0.0002319812774658203,0.07655568917592366,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000171,9.5e-05
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:55.505317,2025-02-13 16:02:56.005044,1739433775.505317,1739433776.005044,4.105035,4.604762,0.499728,7,9,455,552,65,64,65,52,65.0,61.333,7283.962,8836.807,91,84,13,12,13,0,13.0,9.333,0.08320418993631999,0.06245437264442444,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.778,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.497,0.0,0.0,0.000153,0.060098
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:55.548289,2025-02-13 16:02:56.009276,1739433775.548289,1739433776.009276,4.148007,4.608994,0.460988,5,7,325,424,65,64,65,52,65.0,60.571,5640.062,7358.111,65,60,13,12,13,0,13.0,8.571,0.0002532005310058594,0.07681783040364583,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121,0.000158
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:55.600286,2025-02-13 16:02:56.044339,1739433775.600286,1739433776.044339,4.200004,4.644057,0.444054,18,15,1083,933,65,65,52,52,60.167,62.2,19511.143,16808.769,147,153,13,13,0,0,8.167,10.2,0.02610982165617101,0.02867128167833601,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.2,0.0,0.0,0.031067,0.02868
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:56.005855,2025-02-13 16:02:56.052268,1739433776.005855,1739433776.052268,4.605573,4.651986,0.046414,6,6,390,372,65,64,65,52,65.0,62.0,67221.177,64118.661,78,60,13,12,13,0,13.0,10.0,0.0003921985626220703,0.00923619270324707,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.833,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,0.000219,0.007553
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:56.052256,2025-02-13 16:02:56.511720,1739433776.052256,1739433776.51172,4.651974,5.111438,0.459465,5,7,325,424,65,64,65,52,65.0,60.571,5658.757,7382.502,65,60,13,12,13,0,13.0,8.571,0.00031626224517822266,0.07655465602874756,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000152,0.000142
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:56.200304,2025-02-13 16:02:56.645146,1739433776.200304,1739433776.645146,4.800022,5.244864,0.444843,18,15,1083,933,65,65,52,52,60.167,62.2,19476.54,16778.959,147,153,13,13,0,0,8.167,10.2,0.02614917474634507,0.028706925255911692,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.2,0.0,0.0,0.031002,0.028803
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:56.506514,2025-02-13 16:02:57.006365,1739433776.506514,1739433777.006365,5.106232,5.606083,0.499852,10,14,650,860,65,64,65,52,65.0,61.429,10403.08,13764.074,130,132,13,12,13,0,13.0,9.429,0.05549377865261502,0.038450076029850885,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.786,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.496,0.0,0.0,0.000198,0.041551
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:56.552261,2025-02-13 16:02:57.010713,1739433776.552261,1739433777.010713,5.151979,5.610431,0.458453,5,7,325,424,65,64,65,52,65.0,60.571,5671.247,7398.796,65,60,13,12,13,0,13.0,8.571,0.0003654956817626953,0.0763783057530721,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000225,0.00014
