sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:59.052491,2025-02-13 16:38:59.552236,1739435939.052491,1739435939.552236,3.608163,4.107908,0.499746,5,8,325,476,65,64,65,52,65.0,59.5,5202.642,7619.869,65,60,13,12,13,0,13.0,7.5,0.00030726194381713867,0.07139216150556292,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.042,0.0,0.0,0.00019,0.00716,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:59.056369,2025-02-13 16:38:59.548260,1739435939.056369,1739435939.54826,3.612041,4.103932,0.491892,8,11,520,668,65,64,65,52,65.0,60.727,8457.143,10864.175,104,96,13,12,13,0,13.0,8.727,0.0003445829663957868,0.049189090728759766,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.04,0.0,0.0,0.000166,0.004608,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:59.600685,2025-02-13 16:39:00.052220,1739435939.600685,1739435940.05222,4.156357,4.607892,0.451536,18,15,1083,933,65,65,52,52,60.167,62.2,19187.829,16530.235,147,153,13,13,0,0,8.167,10.2,0.02656089558320887,0.02895707743508475,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.201,0.199,0.0,0.0,0.031261,0.02868,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:00.005679,2025-02-13 16:39:00.505597,1739435940.005679,1739435940.505597,4.561351,5.061269,0.499919,10,14,650,860,65,64,65,52,65.0,61.429,10401.68,13762.223,130,132,13,12,13,0,13.0,9.429,0.05550122261047363,0.03845524787902832,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.786,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.496,0.0,0.0,0.00022,0.041649,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:00.008638,2025-02-13 16:39:00.508607,1739435940.008638,1739435940.508607,4.56431,5.064279,0.49997,8,11,520,668,65,64,65,52,65.0,60.727,8320.499,10688.641,104,96,13,12,13,0,13.0,8.727,0.0714092595236642,0.04997360706329346,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.498,0.0,0.0,0.000158,0.054114,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:00.200298,2025-02-13 16:39:00.660257,1739435940.200298,1739435940.660257,4.75597,5.215929,0.45996,18,15,1083,933,65,65,52,52,60.167,62.2,18836.419,16227.497,147,153,13,13,0,0,8.167,10.2,0.026873125749475816,0.02973306179046631,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.211,0.204,0.0,0.0,0.031301,0.028847,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:00.505743,2025-02-13 16:39:00.548322,1739435940.505743,1739435940.548322,5.061415,5.103994,0.04258,6,6,390,372,65,64,65,52,65.0,62.0,73273.948,69892.074,78,60,13,12,13,0,13.0,10.0,0.0003232002258300781,0.008480978012084962,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.833,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.041,0.0,0.0,0.000145,0.006976,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:00.508765,2025-02-13 16:39:01.008720,1739435940.508765,1739435941.00872,5.064437,5.564392,0.499956,5,7,325,424,65,64,65,52,65.0,60.571,5200.458,6784.598,65,60,13,12,13,0,13.0,8.571,0.12495797872543335,0.08328851064046223,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.498,0.0,0.0,0.000219,0.090975,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:00.800881,2025-02-13 16:39:01.268233,1739435940.800881,1739435941.268233,5.356553,5.823905,0.467353,18,15,1083,933,65,65,52,52,60.167,62.2,18538.443,15970.792,147,153,13,13,0,0,8.167,10.2,0.027468821581672218,0.030249936240059987,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.222,0.201,0.0,0.0,0.032627,0.028868,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:01.006502,2025-02-13 16:39:01.506476,1739435941.006502,1739435941.506476,5.562174,6.062148,0.499975,12,16,780,988,65,64,65,52,65.0,61.75,12480.624,15808.79,156,156,13,12,13,0,13.0,9.75,0.04542927308516069,0.03333160082499186,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.812,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.497,0.0,0.0,0.000103,0.035974,0,Normal,0,Normal
