sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.95.2,192.168.95.5,00:0c:29:e0:b6:b9,00:0c:29:07:f9:1e,192.168.95.2,192.168.95.5,IPV4-TCP,2025-02-13 06:32:39.821848,2025-02-13 06:32:40.318715,1739399559.821848,1739399560.318715,1.055691,1.552558,0.496868,20,30,1205,1660,87,64,52,52,60.25,55.333,19401.524,26727.411,125,60,35,12,0,0,6.25,2.0,0.026130199432373047,0.01713335103002088,64.0,64.0,1.0,0.833,0.0,0.0,0.25,0.167,0.25,0.167,0.25,0.167,0.0,0.0,7579.75,5057.5,0.0,0.0,0.0,0.051,0.0,0.0,0.000162,0.00867
192.168.95.10,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.10,192.168.95.2,IPV4-TCP,2025-02-13 06:32:40.307181,2025-02-13 06:32:40.799563,1739399560.307181,1739399560.799563,1.541024,2.033406,0.492383,30,30,1935,1965,65,67,64,64,64.5,65.5,31438.938,31926.363,375,405,13,15,12,12,12.5,13.5,0.01695520302345013,0.01696952458085685,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.035,0.0,0.0,0.000433,0.016531
192.168.95.11,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.11,192.168.95.2,IPV4-TCP,2025-02-13 06:32:40.308269,2025-02-13 06:32:40.800450,1739399560.308269,1739399560.80045,1.542112,2.034293,0.492182,30,30,1935,1965,65,67,64,64,64.5,65.5,31451.776,31939.4,375,405,13,15,12,12,12.5,13.5,0.016962552892750705,0.016956312903042496,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.0,0.035,0.0,0.0,0.000287,0.016674
192.168.95.12,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.12,192.168.95.2,IPV4-TCP,2025-02-13 06:32:40.308838,2025-02-13 06:32:40.801368,1739399560.308838,1739399560.801368,1.542681,2.035211,0.492531,30,30,1935,1965,65,67,64,64,64.5,65.5,31429.487,31916.766,375,405,13,15,12,12,12.5,13.5,0.01697513974946121,0.016973347499452788,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.035,0.0,0.0,0.00029,0.016684
192.168.95.13,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.13,192.168.95.2,IPV4-TCP,2025-02-13 06:32:40.309368,2025-02-13 06:32:40.801975,1739399560.309368,1739399560.801975,1.543211,2.035818,0.492608,30,30,1935,1965,65,67,64,64,64.5,65.5,31424.574,31911.776,375,405,13,15,12,12,12.5,13.5,0.016966688221898573,0.0169785187162202,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.035,0.0,0.0,0.000287,0.01669
192.168.95.14,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.14,192.168.95.2,IPV4-TCP,2025-02-13 06:32:40.310376,2025-02-13 06:32:40.802898,1739399560.310376,1739399560.802898,1.544219,2.036741,0.492523,15,15,975,960,65,64,65,64,65.0,64.0,15836.824,15593.18,195,180,13,12,13,12,13.0,12.0,0.03512670312608991,0.03511585508074079,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.035,0.001,0.034,0.000874,0.034244
192.168.95.15,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.15,192.168.95.2,IPV4-TCP,2025-02-13 06:32:40.311149,2025-02-13 06:32:40.803710,1739399560.311149,1739399560.80371,1.544992,2.037553,0.492562,15,15,1005,960,67,64,67,64,67.0,64.0,16322.815,15591.943,225,180,15,12,15,12,15.0,12.0,0.03511485031672886,0.03512665203639439,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.035,0.001,0.033,0.000845,0.034278
192.168.95.2,192.168.95.5,00:0c:29:e0:b6:b9,00:0c:29:07:f9:1e,192.168.95.2,192.168.95.5,IPV4-TCP,2025-02-13 06:32:40.369072,2025-02-13 06:32:40.820563,1739399560.369072,1739399560.820563,1.602915,2.054406,0.451492,21,32,1232,1764,87,64,52,52,58.667,55.125,21829.838,31256.36,100,60,35,12,0,0,4.762,1.875,0.022554099559783936,0.014564229596045709,64.0,64.0,1.0,0.844,0.0,0.0,0.286,0.188,0.238,0.156,0.238,0.156,0.0,0.0,7240.381,4755.719,0.0,0.0,0.0,0.051,0.0,0.0,0.000147,0.009937
192.168.95.10,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.10,192.168.95.2,IPV4-TCP,2025-02-13 06:32:40.834217,2025-02-13 06:32:41.333629,1739399560.834217,1739399561.333629,2.06806,2.567472,0.499413,30,30,1935,1965,65,67,64,64,64.5,65.5,30996.401,31476.965,375,405,13,15,12,12,12.5,13.5,0.01720302680443073,0.017209513434048355,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.036,0.0,0.0,0.000433,0.016774
192.168.95.11,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.11,192.168.95.2,IPV4-TCP,2025-02-13 06:32:40.835158,2025-02-13 06:32:41.334538,1739399560.835158,1739399561.334538,2.069001,2.568381,0.499381,30,30,1935,1965,65,67,64,64,64.5,65.5,30998.384,31478.979,375,405,13,15,12,12,12.5,13.5,0.017204720398475384,0.017206685296420395,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.036,0.0,0.0,0.000358,0.01685
